City,Postal Code,MLS Area,Latitude (generated),Longitude (generated)
ATMORE,36502,29 - NE Mobile City/Mt. Vernon,31.0238,-87.4939
AXIS,36502,28 - Saraland/Satsuma/Axis/Creola,30.9299,-88.0272
AXIS,36505,29 - NE Mobile City/Mt. Vernon,30.9299,-88.0272
AXIS,36505,28 - Saraland/Satsuma/Axis/Creola,30.9299,-88.0272
AXIS,36525,28 - Saraland/Satsuma/Axis/Creola,30.9299,-88.0272
AXIS,36605,28 - Saraland/Satsuma/Axis/Creola,30.9299,-88.0272
BAY MINETTE,36507,40 - NBald/SpFt/BayMin/Loxley,30.883,-87.773
BAYOU LA BATRE,36509,22 - S Mobile City/Theodore,30.4169,-88.225
BAYOU LA BATRE,36509,20 - Western Bay Shores,30.4169,-88.225
BAYOU LA BATRE,36544,20 - Western Bay Shores,30.4169,-88.225
CALVERT,36513,29 - NE Mobile City/Mt. Vernon,30.978,-96.6739
CALVERT,36560,29 - NE Mobile City/Mt. Vernon,30.978,-96.6739
CHICKASAW,36511,11 - Chickasaw,,
CHICKASAW,36521,11 - Chickasaw,,
CHICKASAW,36571,11 - Chickasaw,,
CHICKASAW,36600,11 - Chickasaw,,
CHICKASAW,36610,11 - Chickasaw,,
CHICKASAW,36611,27 - Saraland,,
CHICKASAW,36611,11 - Chickasaw,,
CHICKASAW,36613,11 - Chickasaw,,
CHICKASAW,36652,11 - Chickasaw,,
CHUNCHULA,,29 - NE Mobile City/Mt. Vernon,30.9219,-88.2006
CHUNCHULA,36521,31 - NW Mobile City/Citronelle,30.9219,-88.2006
CHUNCHULA,36521,29 - NE Mobile City/Mt. Vernon,30.9219,-88.2006
CHUNCHULA,36521,28 - Saraland/Satsuma/Axis/Creola,30.9219,-88.2006
CHUNCHULA,36521,27 - Saraland,30.9219,-88.2006
CHUNCHULA,36521,26 - Semmes/Wilmer/Lott Rd,30.9219,-88.2006
CHUNCHULA,36521,25 - West Mobile/Semmes,30.9219,-88.2006
CHUNCHULA,36522,31 - NW Mobile City/Citronelle,30.9219,-88.2006
CHUNCHULA,36522,27 - Saraland,30.9219,-88.2006
CHUNCHULA,36571,29 - NE Mobile City/Mt. Vernon,30.9219,-88.2006
CHUNCHULA,36571,28 - Saraland/Satsuma/Axis/Creola,30.9219,-88.2006
CHUNCHULA,36575,26 - Semmes/Wilmer/Lott Rd,30.9219,-88.2006
CHUNCHULA,36587,31 - NW Mobile City/Citronelle,30.9219,-88.2006
CITRONELLE,36521,31 - NW Mobile City/Citronelle,31.0907,-88.2281
CITRONELLE,36522,31 - NW Mobile City/Citronelle,31.0907,-88.2281
CITRONELLE,36522,29 - NE Mobile City/Mt. Vernon,31.0907,-88.2281
CITRONELLE,36522,28 - Saraland/Satsuma/Axis/Creola,31.0907,-88.2281
CITRONELLE,36522,26 - Semmes/Wilmer/Lott Rd,31.0907,-88.2281
CITRONELLE,36572,31 - NW Mobile City/Citronelle,31.0907,-88.2281
CITRONELLE,36652,31 - NW Mobile City/Citronelle,31.0907,-88.2281
CITRONELLE,36652,31 - NW Mobile City/Citronelle,31.0907,-88.2281
CITRONELLE,36952,29 - NE Mobile City/Mt. Vernon,31.0907,-88.2281
CODEN,36509,20 - Western Bay Shores,30.383,-88.2383
